,id,smiles
12,DKCKMGPXTTZSPP-PDJAEHLQNA-N,[H]c1c(c(c(c(c1[H])Cl)C(=O)N([H])c2c(c(nc(c2[H])N([H])C(=O)C3(C(C(C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])Cl)[H]
13,RZKRZEJQDFEABK-HWHDIUAINA-N,[H]c1c(c(c(c(c1[H])Cl)[H])C([H])([H])C(=O)N([H])c2c(c(c(c(n2)[H])C#N)N([H])[H])[H])[H]
14,YMWTUQCVCGBXRD-MZSCVVMKNA-N,[H]c1c(c(c(c(c1[H])Cl)[H])C([H])([H])C(=O)N([H])c2c(c(c(c(n2)[H])C([H])([H])[H])N([H])[H])[H])[H]
15,YKFLJYAKACCWMH-UHFFFAOYNA-N,[H]C1(C(C(N(C(C1([H])[H])([H])[H])C(=O)OC([H])([H])[H])([H])[H])([H])[H])[H]
16,CDKJLBQUZRPGRL-BDGWVKIONA-N,[H]c1c(c(c(c(c1[H])O[H])[H])N([H])c2nc3c(c(n2)OC([H])([H])C4(C(C(C(C(C4([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])N=C(N3[H])[H])[H]
17,VBIKLMJHBGFTPV-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])OC([H])([H])C([H])([H])[H])[H])O[H])[H]
18,RAQYGVDRDNKTOM-UHFFFAOYNA-N,[H]c1c(c(c(c(c1C([H])([H])[H])OC([H])([H])[H])[H])Br)[H]
19,LTADIWWYTXOETE-WXRBYKJCNA-N,[H]c1c(c(c(c(c1C([H])([H])C(=O)N([H])C([H])([H])[H])[H])[H])Cl)[H]
20,SVDVKEBISAOWJT-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])S(=O)(=O)N([H])C([H])([H])[H])[H])[H]
21,CRKOSGNZDZJPJU-WXRBYKJCNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])C(=O)N([H])C([H])([H])[H])OC([H])([H])[H])[H])[H]
22,LKRMTUUCKBQGFO-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C2(C(C(N(C(C2([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])[H]
23,ZWZNLFBKDYFPOZ-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])F)[H])OC2=C(c3c(nc(nc3N(C2=O)C([H])([H])[H])[H])[H])[H])[H]
24,HKCQYAPIHRALPY-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])[H])OC([H])([H])C([H])([H])C([H])([H])[H])[H])[H]
25,TXTHKGMZDDTZFD-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C2(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
26,WEULTTCXSOUGPM-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C2(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
27,XVBDNKODNGFLTH-WXRBYKJCNA-N,[H]c1c(c(c(c(c1C([H])([H])[H])[H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])[H]
28,NSBCPOIFPUGGSS-XGNRSVHBNA-N,[H]c1c(c(c(c(c1[H])[H])C([H])([H])N([H])C(=O)[C@]2(C(C(C(N2C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
29,KRDNPKAVXYXNFV-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC([H])([H])C([H])([H])C([H])([H])[H])[H])C([H])([H])[H])Cl)[H]
30,UEXFDEKTELCPNF-UHFFFAOYNA-N,[H]c1c(c(c2c(c(c(c(c2c1[H])[H])[H])OC([H])([H])C([H])([H])C([H])([H])[H])[H])[H])[H]
31,NMWSKOLWZZWHPL-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])c2c(c(c(c(c2[H])Cl)[H])[H])[H])[H])[H]
32,PJRGDKFLFAYRBV-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])C2=C(C(=C(S2)[H])[H])[H])[H])[H]
33,UZJLYRRDVFWSGA-KZFATGLANA-N,[H]c1c(c(c(c(c1[H])[H])C([H])([H])N([H])C(=O)C([H])([H])[H])[H])[H]
34,HNKJADCVZUBCPG-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])SC([H])([H])[H])[H])[H]
35,JAXUOYYLGXZCFM-ZETCQYMHNA-N,[H]c1c2c(nc(n1)[H])N(C(=O)C(=C2[H])OC([H])([H])[H])C([H])([H])[C@]([H])(C([H])([H])[H])O[H]
36,RLABDIOUEMQYLD-GIMVELNWNA-N,[H]c1c(nc(c(c1N([H])[H])C#N)OC([H])([H])C([H])([H])[H])[H]
37,RDOXTESZEPMUJZ-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])OC([H])([H])[H])[H])[H]
38,YNQLUTRBYVCPMQ-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])C([H])([H])C([H])([H])[H])[H])[H]
39,UTDHIUFCIMLKHK-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC([H])([H])C([H])([H])C([H])([H])[H])[H])[H])Cl)[H]
40,BUNAHRVWOLPOOR-VDTRFGQNNA-N,[H]c1c(c(c(c(c1[H])Br)[H])N([H])c2nc3c(c(n2)O[H])N=C(N3[H])[H])[H]
41,CRPZQJFAULUOFF-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])C2=C(c3c(nc(nc3N(C2=O)C([H])([H])[H])[H])[H])[H])Cl)[H])[H]
42,UCRYOFLEQOTQFN-GIIKPNSWNA-N,[H]c1c(c(c(c(c1N([H])c2nc3c(c(n2)O[H])N=C(N3[H])[H])[H])[H])O[H])[H]
43,YKIRGYAJMYYVQT-WXRBYKJCNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])N([H])C(=O)C([H])([H])[H])[H])C([H])([H])[H])[H]
44,MTCBHAVZXLERIX-MZSCVVMKNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])[H])C([H])([H])C(=O)N([H])c2c(c(c(c(n2)[H])C([H])([H])[H])N([H])[H])[H])[H])[H]
45,LQMMOYKVXIIFDY-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])N([H])C2(C(C(N(C(C2([H])[H])([H])[H])C(=O)[H])([H])[H])([H])[H])[H])[H])C3=C(C(=C(S3)[H])[H])Br)[H]
46,SCUWHSBQTHSIOH-UHFFFAOYNA-N,[H]C([H])([H])OC([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H]
47,BVSPJPNNLDIUFE-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])S(=O)(=O)N(C([H])([H])[H])C([H])([H])[H])[H])[H]
48,OOKAVNOVSANHGB-BUKGPZPNNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])C(=O)N([H])c2c(c(c(c(n2)OC([H])([H])C([H])([H])[H])C#N)N([H])[H])[H])Cl)[H])[H]
49,XPWZOQZLBLAPRM-IVVDIOMPNA-N,[H]c1c(nc(c(c1N([H])C(=O)[H])[H])N([H])C(=O)[C@@]2([C@](C2([H])[H])([H])F)[H])[H]
50,DTFKRVXLBCAIOZ-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])[H])OC([H])([H])[H])[H])[H]
51,KGXUFORHNMQKBT-XWKXFZRBNA-N,[H]c1c(c(c(c(c1Cl)[H])C([H])([H])N([H])C(=O)C([H])([H])[H])Cl)[H]
52,UCSSAACYTHUIJH-GSJBBNTLNA-N,[H]c1c(c(c(c(c1F)C([H])([H])N([H])C(=O)[C@]2(C(C(C(N2C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])Cl)[H]
53,WPRLJHYOYANPHG-YAQRNVERNA-N,[H]c1c(c(c(c(c1[H])N([H])C(=O)C([H])([H])C([H])([H])[H])[H])C2=C(C(=C(S2)[H])[H])Br)[H]
54,NVUCQNRHZWWMKP-KGCJAGGINA-N,[H]c1c2c(nc(n1)N([H])[C@@]([H])(C([H])([H])[H])C([H])([H])N3N=C(N=N3)[H])N(C(=O)C(=C2[H])O[H])C([H])([H])[H]
55,BDDJHMXDNQHMGI-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])N([H])C([H])([H])C2(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C3=C(C(=C(S3)[H])[H])Br)[H]
56,DOMHVKMKHDMRCU-XWKXFZRBNA-N,[H]c1c2c(nc(n1)N([H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H])N(C(=O)C(=C2[H])[H])C([H])([H])[H]
57,QLTKVDKXTKKJOX-UHFFFAOYNA-N,[H]c1c(c(c(c(c1C([H])([H])[H])[H])[H])OC([H])([H])C([H])([H])C([H])([H])[H])[H]
58,OOASMXFWQAEREO-UHFFFAOYNA-N,[H]c1c2c(nc(n1)[H])N(C(=O)C(=C2[H])OC([H])([H])[H])C3(C(C(S(=O)(=O)C(C3([H])[H])([H])[H])([H])[H])([H])[H])[H]
59,JPZOBKZWGIQWRS-PDWSVUOVNA-N,[H]c1c(c(c(c(c1[H])[H])C([H])([H])C(=O)N([H])c2c(c(c(c(n2)[H])C([H])([H])[H])N([H])[H])[H])[H])[H]
60,LMAXIWXXMZZGMU-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])N([H])C2(C(C(N(C(C2([H])[H])([H])[H])C(=O)C([H])([H])[H])([H])[H])([H])[H])[H])[H])C3=C(C(=C(S3)[H])[H])Br)[H]
61,HNTNIOOVEQSIGD-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC([H])([H])C([H])([H])[H])[H])C([H])([H])[H])Cl)[H]
62,JWMKUKRBNODZFA-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])[H])OC([H])([H])C([H])([H])[H])[H])[H]
63,IAGUPODHENSJEZ-BGGKNDAXNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C(=O)OC([H])([H])[H])[H])[H]
64,VPFKZMSXKPTQJG-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])c2c(c(c(nc2[H])[H])C([H])([H])[H])[H])[H])[H]
65,AHFGBKRSAHLRSA-HWHDIUAINA-N,[H]c1c(c(c(c(c1C([H])([H])C(=O)N([H])c2c(c(c(c(n2)[H])C([H])([H])[H])N([H])[H])[H])OC([H])([H])[H])[H])Br)[H]
66,XTHFKEDIFFGKHM-UHFFFAOYNA-N,[H]C([H])([H])OC([H])([H])C([H])([H])OC([H])([H])[H]
67,APWZAIZNWQFZBK-UHFFFAOYNA-N,[H]c1c(c(c2c(c1[H])c(c(c(c2OC([H])([H])C([H])([H])[H])[H])[H])[H])[H])[H]
68,UCSSAACYTHUIJH-YXSUSBOTNA-N,[H]c1c(c(c(c(c1F)C([H])([H])N([H])C(=O)[C@@]2(C(C(C(N2C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])Cl)[H]
69,WKPZCFBGVGFXOI-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC2=C(c3c(nc(nc3N(C2=O)C4(C(C(S(=O)(=O)C(C4([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H])[H])F)[H])F)[H]
70,NIQDSHRYUQJRAQ-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC2=C(c3c(nc(nc3N(C2=O)C4(C(C(N(C(C4([H])[H])([H])[H])[H])([H])[H])([H])[H])[H])[H])[H])[H])F)[H])F)[H]
71,YRYBWOOMSSBUIN-UHFFFAOYNA-N,[H]c1c(c(c(c(c1OC([H])([H])C([H])([H])C([H])([H])[H])[H])C([H])([H])[H])Cl)C([H])([H])[H]
72,VDCVFZVBPZNEHA-WXRBYKJCNA-N,[H]c1c(c(c(c(c1[H])Cl)[H])C([H])([H])C(=O)N([H])C([H])([H])[H])[H]
73,LIMBIUDXKLGUOL-UHFFFAOYNA-N,[H]c1c2c(nc(n1)[H])N(C(=O)C(=C2[H])[H])C([H])([H])C([H])([H])S(=O)(=O)C([H])([H])[H]
74,KLQODMGEYUIUHS-IDEDITGINA-N,[H]c1c(c(nc(c1[H])N([H])C(=O)[C@@]2([C@@](C2([H])[H])([H])C([H])([H])[H])[H])[H])[H]
75,IWKISUSMIBIASV-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])C2=C(C(=C(S2)[H])OC([H])([H])[H])Br)[H])[H]
76,PAYQMPKVTXDLRC-XWKXFZRBNA-N,[H]c1c(c(c(c(c1C([H])([H])C(=O)N([H])C([H])([H])[H])OC([H])([H])[H])[H])Br)[H]
77,XGIVGIUCVFRDPZ-VEWCPZSHNA-N,[H]c1c(c(c(c(c1[H])Cl)C(=O)N([H])c2c(c(nc(c2[H])N([H])C(=O)C([H])([H])O[H])[H])[H])Cl)[H]
78,UBXXXBYLDPJPAZ-KZFATGLANA-N,[H]c1c2c(nc(n1)N([H])C([H])([H])[H])N(C(=O)C(=C2[H])[H])C([H])([H])[H]
79,CGSPVYCZBDFPHJ-XWKXFZRBNA-N,[H]c1c(c(nc(c1[H])N([H])C(=O)C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])[H])[H]
80,DCIHPOIFFJRFKS-WXRBYKJCNA-N,[H]c1c2c(nc(n1)N([H])C([H])([H])C([H])([H])[H])N(C(=O)C(=C2[H])[H])C([H])([H])[H]
81,SGJWLGCGIMCGII-YHMJCDSINA-N,[H]c1c(c(c(c(c1[H])N([H])C(=O)[H])[H])C2=C(C(=C(S2)[H])OC([H])([H])[H])Br)[H]
82,VRYWBMTXKFQBCA-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])S(=O)(=O)N2C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H]
83,JDCULXHGRMPCAM-NVKOMHJDNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])c2nc3c(c(n2)O[H])N=C(N3[H])[H])[H])[H]
84,HXKFBZNJRZNEMJ-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C([H])([H])C2(C(C(C(C(C2([H])[H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
85,IWIGLWIBFGXPBF-BDJVNHBBNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])N([H])C(=O)[C@@]2(C(C(C(N2C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])C([H])([H])[H])[H]
86,DDSRVHQRPQYQQI-LUXCBXFANA-N,[H]c1c(c(c(c(c1[H])OC([H])([H])[H])[H])N([H])c2nc3c(c(n2)OC([H])([H])[H])N=C(N3[H])[H])[H]
87,HPEVPEPHBVVVDW-UGTGXVSFNA-N,[H]c1c(c(c(c(c1[H])Cl)[H])C([H])([H])N([H])C(=O)[C@@]2(C(C(C(N2C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H]
88,SITYZQQEGUIZTH-UHFFFAOYNA-N,[H]c1c(c2c(c(c1[H])OC([H])([H])C([H])([H])C([H])([H])[H])C(=C(N2[H])[H])[H])[H]
89,NRFZSVJUQKNSNB-WXRBYKJCNA-N,[H]c1c(c(nc(c1[H])N([H])C(=O)C2(C(C2([H])[H])([H])[H])[H])[H])[H]
90,MMBPQJMMAZRLLE-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])N([H])S(=O)(=O)c2c(c(c(c(c2[H])[H])F)[H])[H])[H])C3=C(C(=C(S3)[H])[H])Br)[H]
91,QHZSDTDMQZPUKC-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])c2c(c(c(c(c2[H])Cl)[H])Cl)[H])[H])[H]
92,DHZRSMFZIUSTID-UHFFFAOYNA-N,[H]c1c(c(c(c(c1[H])[H])N([H])C2(C(C(N(C(C2([H])[H])([H])[H])C(=O)[H])([H])[H])([H])[H])[H])[H])[H]
93,ABDUGOAJZUSONB-HCKMINDGNA-N,[H]c1c2c(nc(n1)N([H])C3(C(C(N(C(C3([H])[H])([H])[H])C(=O)C([H])([H])[H])([H])[H])([H])[H])[H])N(C(=O)C(=C2[H])[H])C([H])([H])[H]
94,SPPQKSSJXFFPLY-WXRBYKJCNA-N,[H]c1c(c(c(c(c1[H])C([H])([H])[H])C([H])([H])C(=O)N([H])C([H])([H])[H])[H])[H]
95,GEXRMYURKXTGJO-QWOVJGMINA-N,[H]c1c(c(c(c(c1OC2=C(c3c(nc(nc3N(C2=O)C([H])([H])[H])N([H])C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])O[H])[H])[H])F)[H])F)[H]
96,KLGVWITWFZDHIX-QDQILVOLNA-N,[H]C1(C(C1([H])C([H])([H])C(=O)N([H])C([H])([H])[H])([H])[H])[H]
97,NSBCPOIFPUGGSS-GOTULZKPNA-N,[H]c1c(c(c(c(c1[H])[H])C([H])([H])N([H])C(=O)[C@@]2(C(C(C(N2C(=O)C([H])([H])[H])([H])[H])([H])[H])([H])[H])[H])[H])[H]
98,LXJFYOHAJYCZDY-UHFFFAOYNA-N,[H]c1c(c(c2c(c1[H])C(=C(N2[H])[H])C([H])([H])C([H])([H])C([H])([H])Oc3c(c(c(c4c3C(=C(N4[H])[H])[H])[H])[H])[H])[H])[H]
99,VELJFMBHESEOOE-UHFFFAOYNA-N,[H]c1c2c(nc(n1)[H])N(C(=O)C(=C2[H])OC([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[H]
